Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2020-05-19,TCS,1903.0,1966.45,1903.0,1948.65,3198699,1142215,1945.9
2020-05-20,TCS,1950.0,1962.9,1931.7,1953.6,2778505,1398276,1946.92
2020-05-21,TCS,1946.0,1998.0,1941.15,1991.2,3400925,1818084,1977.64
2020-05-22,TCS,1977.1,2032.0,1961.25,2020.35,3663422,1423498,2005.12
2020-05-26,TCS,2015.0,2024.0,1925.0,1943.0,4575512,2223882,1969.21
2020-05-27,TCS,1959.0,2010.0,1941.25,2005.3,3482185,1174548,1975.64
2020-05-28,TCS,1988.5,2014.0,1971.3,2004.3,3475788,1346787,1988.53
2020-05-29,TCS,1982.0,2002.65,1962.4,1972.35,7237765,4581484,1977.79
2020-06-01,TCS,1990.0,2060.0,1981.1,2045.25,3747850,1266772,2033.41
2020-06-02,TCS,2060.2,2081.0,2040.05,2047.15,2443886,897807,2057.96
2020-06-03,TCS,2051.85,2063.75,2020.0,2046.15,3699799,1958989,2038.22
2020-06-04,TCS,2046.75,2100.0,2046.75,2091.55,4048593,1525655,2075.82
2020-06-05,TCS,2091.6,2098.0,2040.3,2048.25,3573299,1171097,2054.59
2020-06-08,TCS,2078.25,2095.0,2062.1,2071.75,2957841,918772,2078.75
2020-06-09,TCS,2063.1,2095.5,2060.25,2072.05,2910152,1285171,2079.22
2020-06-10,TCS,2077.05,2132.0,2073.5,2108.75,5168494,1657664,2108.53
2020-06-11,TCS,2100.0,2105.0,2061.8,2067.65,2269569,687131,2077.3
2020-06-12,TCS,2011.2,2049.2,2011.0,2039.5,2842757,1139648,2026.47
2020-06-15,TCS,2039.1,2059.0,2000.95,2029.9,2399028,621670,2027.78
2020-06-16,TCS,2065.0,2073.95,2031.0,2045.8,2146528,753988,2051.87
2020-06-17,TCS,2046.0,2058.85,2026.55,2047.8,2703546,1286034,2042.73
2020-06-18,TCS,2045.0,2059.2,2025.2,2038.1,1944471,625354,2039.63
